序号,Phase,名称,详情锚点,前置任务,验证命令,状态,备注
1,P0:基线验证,记录测试基线,spec.md#task-1,无,make test → 全绿; cd relaykit && GOWORK=off go build ./...,已完成,evidence 见 evidence/
2,P0:基线验证,执行 Phase 0 回归验证,spec.md#task-2,1,make test ≥ Task 1 基线通过数,已完成,evidence 见 evidence/
3,P1:后端三列迁移,Log struct 加3列 + AutoMigrate 三库验证,spec.md#task-3,2,make test; sqlite3 .schema logs → 含3新列,已完成,evidence 见 evidence/
4,P1:后端三列迁移,UpdateLogAuditFields 替换 + audit_sink 更新,spec.md#task-4,3,make test; grep UpdateLogAuditPointer *.go → 0命中,已完成,evidence 见 evidence/
5,P1:后端三列迁移,GetAllLogs + GetUserLogs 加参数 + controller 更新,spec.md#task-5,4,make test; curl GET /api/log?audit_hit_severity=high → 过滤正确,已完成,evidence 见 evidence/
6,P1:后端三列迁移,执行 Phase 1 回归验证,spec.md#task-6,5,make test; relaykit build; curl 新列有值,已完成,evidence 见 evidence/
7,P2:前端列表增强,UsageLog schema + GetLogsParams + CommonLogFilters 加 audit 字段,spec.md#task-7,6,cd web && bun run typecheck → 通过,已完成,evidence 见 evidence/
8,P2:前端列表增强,common-logs-columns 加 audit 命中列（admin-only）,spec.md#task-8,7,browser: admin可见Audit列; 非admin无此列,已完成,evidence 见 evidence/
9,P2:前端列表增强,common-logs-filter-bar 加严重度筛选 + buildSearchParams + URL state,spec.md#task-9,8,browser: 选High → URL含auditHitSeverity=high,已完成,evidence 见 evidence/
10,P2:前端列表增强,执行 Phase 2 回归验证,spec.md#task-10,9,bun run typecheck; bun run build → 通过; browser UF-301/302,已完成,evidence 见 evidence/
11,P3:详情对话框,details-dialog.tsx 加 Billing / Audit Tabs,spec.md#task-11,10,browser: 有命中行两tab; billing tab内容完整; audit tab正确,已完成,evidence 见 evidence/
12,P3:详情对话框,执行 Phase 3 回归验证,spec.md#task-12,11,bun run typecheck; browser UF-303全通过,已完成,evidence 见 evidence/
13,P4:i18n与验收,i18n sync,spec.md#task-13,12,cd web && bun run i18n:sync → 0 missing / 0 untranslated,已完成,evidence 见 evidence/
14,P4:i18n与验收,执行 spec 5.2 真实场景全套测试,spec.md#task-14,13,按5.2矩阵7行全部通过; evidence齐全,已完成,evidence 见 evidence/
15,P4:i18n与验收,执行 Phase 4 最终回归验证,spec.md#task-15,14,make test; go build; bun build; i18n:sync → 全绿,已完成,evidence 见 evidence/
